model	publication_status	paper_title	paper_url	doi	official_model_url	license	parameter_count	maximum_native_context_bp	input_encoding	pretraining_corpus	objective	selected_literature_result	comparability_warning	retrieved_at
AgroNT-1B	peer-reviewed	AgroNT: a foundational large language model for agriculture	https://www.nature.com/articles/s42003-024-06465-2	10.1038/s42003-024-06465-2	https://huggingface.co/InstaDeepAI/agro-nucleotide-transformer-1b	cc-by-nc-sa-4.0	1,000,000,000	6,000	6-mer; 1,000 tokens	48 edible plant species; approximately 10.5 million genomic sequences	15% masked language modelling	Paper-reported splice-site AUROC 0.97/0.95; promoter R2 0.70/0.73; terminator R2 0.67/0.77; gene-expression R2 0.419-0.621	Original-paper protocols only; not a same-split result for LegumeGenomeFM	2026-07-22
PlantCaduceus-l32	peer-reviewed	A DNA language model based on multispecies alignment predicts the effects of noncoding variants in plants	https://www.pnas.org/doi/10.1073/pnas.2421738122	10.1073/pnas.2421738122	https://huggingface.co/kuleshov-group/PlantCaduceus_l32	apache-2.0	225,000,000	512	single nucleotide; RC-equivariant Caduceus	16 angiosperm genomes; balanced CDS/noncoding 512-bp windows with 256-bp step	masked language modelling	Paper-reported Arabidopsis constraint validation AUROC/AUPRC 0.896/0.876 and maize transfer 0.829/0.797	512-bp model; literature result is not a long-context or legume-specific head-to-head	2026-07-22
PlantCAD2-Small	preprint	PlantCAD2: A Long-Context DNA Language Model for Cross-Species Functional Annotation in Angiosperms	https://www.biorxiv.org/content/10.1101/2025.08.27.672609v1	10.1101/2025.08.27.672609	https://huggingface.co/kuleshov-group/PlantCAD2-Small-l24-d0768	apache-2.0	88,000,000	8,192	single nucleotide; RC-equivariant Caduceus/Mamba-2	65 Phytozome angiosperm genomes; gene-centred +/-5-kbp regions chopped into overlapping 8,192-bp windows	15% masked language modelling	Preprint Supplementary Table 2 masked-token accuracy 0.5981	Preprint; gene-centred corpus and task splits differ from this project	2026-07-22
PlantCAD2-Medium	preprint	PlantCAD2: A Long-Context DNA Language Model for Cross-Species Functional Annotation in Angiosperms	https://www.biorxiv.org/content/10.1101/2025.08.27.672609v1	10.1101/2025.08.27.672609	https://huggingface.co/kuleshov-group/PlantCAD2-Medium-l48-d1024	apache-2.0	311,000,000	8,192	single nucleotide; RC-equivariant Caduceus/Mamba-2	65 Phytozome angiosperm genomes; gene-centred +/-5-kbp regions chopped into overlapping 8,192-bp windows	15% masked language modelling	Preprint Supplementary Table 2 masked-token accuracy 0.6407	Preprint; gene-centred corpus and task splits differ from this project	2026-07-22
PlantCAD2-Large	preprint	PlantCAD2: A Long-Context DNA Language Model for Cross-Species Functional Annotation in Angiosperms	https://www.biorxiv.org/content/10.1101/2025.08.27.672609v1	10.1101/2025.08.27.672609	https://huggingface.co/kuleshov-group/PlantCAD2-Large-l48-d1536	apache-2.0	694,000,000	8,192	single nucleotide; RC-equivariant Caduceus/Mamba-2	65 Phytozome angiosperm genomes; gene-centred +/-5-kbp regions chopped into overlapping 8,192-bp windows	15% masked language modelling	Preprint Supplementary Table 2 masked-token accuracy 0.6569; G.max ACR AUPRC 0.5111; soybean expression binary AUROC 0.8538; SV AUROC/AUPRC 0.8452/0.8410	Preprint abstract says 676M whereas Results/model naming says 694M; report preserves this internal inconsistency	2026-07-22
Nucleotide-Transformer-v2-500M-multi-species	peer-reviewed	Nucleotide Transformer: building and evaluating robust foundation models for human genomics	https://www.nature.com/articles/s41592-024-02523-z	10.1038/s41592-024-02523-z	https://huggingface.co/InstaDeepAI/nucleotide-transformer-v2-500m-multi-species	cc-by-nc-sa-4.0	500,000,000	12,282	6-mer; 2,048 tokens plus special tokens	850 genomes from a diverse species set	masked language modelling	Paper reports top-k splice retrieval accuracy 96% and PR-AUC 0.98 for the 500M multispecies model	Mostly human benchmark protocols; maximum raw bp follows the official model card	2026-07-22
Evo-2-7B	peer-reviewed	Genome modelling and design across all domains of life with Evo 2	https://www.nature.com/articles/s41586-026-10176-5	10.1038/s41586-026-10176-5	https://huggingface.co/arcinstitute/evo2_7b	apache-2.0	7,000,000,000	1,000,000	single nucleotide; autoregressive StripedHyena 2	OpenGenome2; 8.8 trillion tokens from 128,000 genomes across all domains of life	next-token prediction	Nature paper reports broad zero-shot functional/variant tasks; PlantCAD2 preprint reports Evo-2-7B plant-task values under its own protocol	Huge general model; plant/legume pretraining exposure must be audited per test species and full fine-tuning may be infeasible	2026-07-22
Evo-2-40B	peer-reviewed	Genome modelling and design across all domains of life with Evo 2	https://www.nature.com/articles/s41586-026-10176-5	10.1038/s41586-026-10176-5	https://github.com/ArcInstitute/evo2	apache-2.0	40,000,000,000	1,000,000	single nucleotide; autoregressive StripedHyena 2	OpenGenome2; 8.8 trillion tokens from 128,000 genomes across all domains of life	next-token prediction	Largest Evo 2 checkpoint reported in the Nature paper	Not guaranteed feasible on 2-3 H20 96-GB GPUs; include only after a measured runtime gate	2026-07-22
GPN-Brassicales	peer-reviewed	DNA language models are powerful predictors of genome-wide variant effects	https://www.pnas.org/doi/10.1073/pnas.2311219120	10.1073/pnas.2311219120	https://huggingface.co/songlab/gpn-brassicales	mit	65,880,071	512	single nucleotide convolutional masked language model	8 Brassicales genomes	masked language modelling	Paper-reported zero-shot Arabidopsis variant-effect prediction	Short-context and Brassicales-specific; useful as a specialist control, not a universal long-context baseline	2026-07-22
HyenaDNA	peer-reviewed	HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution	https://arxiv.org/abs/2306.15794	10.48550/arXiv.2306.15794	https://huggingface.co/LongSafari	repository/model-card-dependent	checkpoint-dependent	1,000,000	single nucleotide; causal Hyena hierarchy	human reference genome	next-token prediction	Published long-context GenomicBenchmarks and species-classification results	Long-context architectural control; not plant-pretrained and checkpoint-specific sizes must be pinned	2026-07-22
