identifier	identifier_type	title	journal	publisher	published_online	published_print	metadata_type	article_type	decision	evidence_role	discovery	crossref_update_count	resolved_url	verification_status
10.1038/s41592-021-01252-x	doi	Effective gene expression prediction from sequence by integrating long-range interactions	Nature Methods	Springer Science and Business Media LLC	2021-10-4	2021-10	journal-article	Article	include_core	supervised long-range sequence-to-function baseline and homology-aware split	systematic_search	0	https://www.nature.com/articles/s41592-021-01252-x?error=cookies_not_supported&code=3aed74b7-eaaf-4293-8421-be0063846c9c	PASS
10.1038/s42256-024-00872-0	doi	DNA language model GROVER learns sequence context in the human genome	Nature Machine Intelligence	Springer Science and Business Media LLC	2024-7-23		journal-article	Article	include_core	genome language modeling and context representation	systematic_search	0	https://www.nature.com/articles/s42256-024-00872-0?error=cookies_not_supported&code=af13b4c7-8724-4906-91cb-6d7bf0ec7cbf	PASS
10.1038/s41592-024-02523-z	doi	Nucleotide Transformer: building and evaluating robust foundation models for human genomics	Nature Methods	Springer Science and Business Media LLC	2024-11-28	2025-2	journal-article	Article	include_core	multispecies scaling, tokenizer and downstream benchmark	systematic_search	0	https://www.nature.com/articles/s41592-024-02523-z?error=cookies_not_supported&code=1e9420ec-0354-4628-8fc7-69e9c60a2a56	PASS
10.1038/s41467-024-53759-4	doi	A long-context language model for deciphering and generating bacteriophage genomes	Nature Communications	Springer Science and Business Media LLC	2024-10-30		journal-article	Article	include_core	species-aware long-context objective	systematic_search	0	https://www.nature.com/articles/s41467-024-53759-4?error=cookies_not_supported&code=c61f39a2-0d33-4091-9fd4-d36ed0901d75	PASS
10.1038/s41467-024-46947-9	doi	Genomic language model predicts protein co-regulation and function	Nature Communications	Springer Science and Business Media LLC	2024-4-3		journal-article	Article	include_context	cross-gene functional representation	systematic_search	0	https://www.nature.com/articles/s41467-024-46947-9?error=cookies_not_supported&code=f27f7f00-663d-4f50-8165-91cba0cb2ec9	PASS
10.1038/s41587-024-02511-w	doi	A DNA language model based on multispecies alignment predicts the effects of genome-wide variants	Nature Biotechnology	Springer Science and Business Media LLC	2025-1-2	2025-12	journal-article	Brief Communication	include_core	alignment-informed variant-effect baseline	systematic_search	0	https://www.nature.com/articles/s41587-024-02511-w?error=cookies_not_supported&code=cda98c7b-d383-406b-a754-3b03d28fee92	PASS
10.1038/s41588-024-02053-6	doi	Predicting RNA-seq coverage from DNA sequence as a unifying model of gene regulation	Nature Genetics	Springer Science and Business Media LLC	2025-1-8	2025-4	journal-article	Article	include_core	524-kb supervised RNA-seq baseline and resource bound	systematic_search	0	https://www.nature.com/articles/s41588-024-02053-6?error=cookies_not_supported&code=87989798-9d51-4569-8a58-d81863d5e34a	PASS
10.1038/s41592-025-02881-2	doi	Annotating the genome at single-nucleotide resolution with DNA foundation models	Nature Methods	Springer Science and Business Media LLC	2025-10-29	2025-11	journal-article	Article	include_core	single-nucleotide embedding annotation	citation_chasing	0	https://www.nature.com/articles/s41592-025-02881-2?error=cookies_not_supported&code=091c386c-a664-453b-93e2-9f47475f91b1	PASS
10.1038/s42003-024-06465-2	doi	A foundational large language model for edible plant genomes	Communications Biology	Springer Science and Business Media LLC	2024-7-9		journal-article	Article	include_core	AgroNT edible-plant pretraining baseline	citation_chasing	0	https://www.nature.com/articles/s42003-024-06465-2?error=cookies_not_supported&code=d72a3edf-2386-4215-95a4-1c4b9b4bc088	PASS
10.1038/s41467-025-65066-7	doi	Omnireg-gpt: a high-efficiency foundation model for comprehensive genomic sequence understanding	Nature Communications	Springer Science and Business Media LLC	2025-11-19		journal-article	Article	include_core	generalist regulatory genomics benchmark	systematic_search	0	https://www.nature.com/articles/s41467-025-65066-7?error=cookies_not_supported&code=ea5cf163-ab81-4311-bd08-03fc0eb29790	PASS
